UPI Banks,Volume (Mn) By Costumers,Value (Cr) by Costumers,Volume (Mn),Value (Cr),Month,Year
Samsung Pay,1.62,312.93,1.62,312.93,4,2021
Samsung Pay,1.83,326.96,1.83,326.96,3,2021
Samsung Pay,1.65,296.08,1.65,296.08,2,2021
Samsung Pay,1.67,314.07,1.67,314.07,1,2021
State Bank of India Apps,3.62,"1,967.04",3.62,"1,967.05",1,2022
State Bank of India Apps,3.38,"1,863.42",3.38,"1,863.42",2,2022
State Bank of India Apps,4.01,"2,130.56",4.01,"2,130.56",3,2022
State Bank of India Apps,4.03,"2,118.00",4.03,"2,118.00",4,2022
State Bank of India Apps,4.18,"2,195.66",4.18,"2,195.66",5,2022
State Bank of India Apps,3.83,"1,947.10",3.83,"1,947.10",6,2022
State Bank of India Apps,4.15,"2,013.47",4.15,"2,013.47",7,2022
State Bank of India Apps,3.63,1961.7,3.63,1961.72,12,2021
State Bank of India Apps,3.72,1990.21,3.72,1990.21,11,2021
State Bank of India Apps,3.98,2089.18,3.98,2089.18,10,2021
State Bank of India Apps,3.77,1874.58,3.77,1874.58,9,2021
State Bank of India Apps,3.69,1905.52,3.69,1905.52,8,2021
State Bank of India Apps,3.55,1908.2,3.55,1908.2,7,2021
State Bank of India Apps,3.43,1978.61,3.43,1978.61,6,2021
State Bank of India Apps,3.69,2079.32,3.69,2079.32,5,2021
State Bank of India Apps,4.14,2359.08,4.14,2359.08,4,2021
State Bank of India Apps,4.55,2578.38,4.55,2578.38,3,2021
State Bank of India Apps,4.13,2273.77,4.13,2273.77,2,2021
State Bank of India Apps,4.29,2358.82,4.29,2358.82,1,2021
Ultracash,2.14,177.63,2.14,177.63,1,2022
Ultracash,1.51,158.7,1.51,158.7,2,2022
Ultracash,1.96,178.99,1.96,178.99,12,2021
Ultracash,2.13,162.44,2.13,162.44,11,2021
Ultracash,2.32,170.32,2.32,170.32,10,2021
Ultracash,2.02,163.57,2.02,163.57,9,2021
Ultracash,1.66,161.92,1.66,161.92,8,2021
Ultracash,1.45,158.45,1.45,158.45,7,2021
Ultracash,1.19,148.09,1.19,148.09,6,2021
Ultracash,1.15,142.92,1.15,142.92,5,2021
Ultracash,1.49,178.72,1.49,178.72,4,2021
Ultracash,1.33,158.23,1.33,158.23,3,2021
WhatsApp,2.34,205.83,2.34,205.83,1,2022
WhatsApp,2.24,207.09,2.24,207.09,2,2022
WhatsApp,2.54,239.78,2.54,239.78,3,2022
WhatsApp,2.5,242.4,2.5,242.4,4,2022
WhatsApp,3.48,294.98,3.48,294.98,5,2022
WhatsApp,23.04,429.06,23.04,429.06,6,2022
WhatsApp,6.18,502,6.18,502,7,2022
WhatsApp,2.25,188.78,2.25,188.78,12,2021
WhatsApp,2.11,149.38,2.11,149.38,11,2021
WhatsApp,1.01,62.31,1.01,62.31,9,2021
WhatsApp*,2.6,104.19,2.6,104.19,10,2021
Yes Bank Apps,27.24,"5,816.96",27.59,"5,817.16",1,2022
Yes Bank Apps,31.99,"6,551.55",32.17,"6,551.61",2,2022
Yes Bank Apps,35.25,"8,746.74",35.25,"8,746.74",3,2022
Yes Bank Apps,34.07,"10,246.99",34.07,"10,246.99",4,2022
Yes Bank Apps,38.19,"10,760.55",39.69,"11,760.16",5,2022
Yes Bank Apps,41.67,"9,889.56",44.03,"11,147.17",6,2022
Yes Bank Apps,55.35,"13,868.41",60.8,"15,236.04",7,2022
Yes Bank Apps,24.88,5689.57,25.14,5689.75,12,2021
Yes Bank Apps,24.13,6170.96,24.34,6171.08,11,2021
Yes Bank Apps,28.32,7660.21,28.41,7660.27,10,2021
Yes Bank Apps,23.02,4994.32,23.03,4994.33,9,2021
Yes Bank Apps,24.34,5702.87,24.35,5702.87,8,2021
Yes Bank Apps,25.94,4811.73,25.94,4811.73,7,2021
Yes Bank Apps,24.72,5227.04,24.72,5227.04,6,2021
Yes Bank Apps,21.08,4486.54,21.08,4486.54,5,2021
Yes Bank Apps,22.81,5120.17,22.81,5120.17,4,2021
Yes Bank Apps,29.14,4831.58,29.14,4831.58,3,2021
Yes Bank Apps,29.34,3396.01,29.34,3396.01,2,2021
Yes Bank Apps,14.78,3207.95,14.78,3207.95,1,2021
YuvaPay,1.33,60.44,1.33,60.44,6,2021
YuvaPay,2.32,73.16,2.32,73.16,5,2021
YuvaPay,1.59,51.22,1.59,51.22,4,2021
